Stock,Company Name,% of Portfolio
AAPL,Apple Inc, 0.500400 
BAC,Bank America Corp, 0.090300 
AXP,American Express Co, 0.072200 
KO,Coca Cola Co, 0.071500 
CVX,Chevron Corp New, 0.059300 
OXY,Occidental Pete Corp, 0.045800 
KHC,Kraft Heinz Co, 0.035000 
MCO,Moodys Corp, 0.024900 
DVA,Davita Inc, 0.010900 
HPQ,Hp Inc, 0.008400 
VRSN,Verisign Inc, 0.008300 
C,Citigroup Inc, 0.007300 
KR,Kroger Co, 0.007100 
V,Visa Inc, 0.006100 
CHTR,Charter Communications Inc N, 0.005400 
MA,Mastercard Incorporated, 0.005000 
AON,Aon Plc, 0.004200 
AMZN,Amazon Com Inc, 0.004100 
COF,Capital One Finl Corp, 0.003900 
PARA,Paramount Global, 0.003900 
LSXMK,Liberty Media Corp Del, 0.003500 
SNOW,Snowflake Inc, 0.003000 
NU,Nu Hldgs Ltd, 0.002500 
ALLY,Ally Finl Inc, 0.002500 
TMUS,T-mobile Us Inc, 0.002300 
DHI,D R Horton Inc, 0.002000 
LSXMA,Liberty Media Corp Del, 0.001600 
FWONK,Liberty Media Corp Del, 0.001500 
FND,Floor & Decor Hldgs Inc, 0.001400 
LPX,Louisiana Pac Corp, 0.001200 
LLYVK,Liberty Media Corp Del, 0.001100 
MKL,Markel Group Inc, 0.000700 
LLYVA,Liberty Media Corp Del, 0.000500 
STNE,Stoneco Ltd, 0.000400 
GL,Globe Life Inc, 0.000300 
NVR,Nvr Inc, 0.000200 
SIRI,Sirius Xm Holdings Inc, 0.000100 
DEO,Diageo Plc, 0.000100 